PERSON,AGE,GENDER,NoSIBLINGS,DEGREE,WEIGHT,HEIGHT,USCITIZEN,UTNATIVE,MARRIED,NoCHILDREN
35,28,F,1,Jr,105,62,Y,N,Y,0
22,20,F,5,NA,115,63,Y,N,N,0
33,18,F,4,So,115,62,Y,N,N,0
14,19,F,3,So,120,63,Y,Y,N,-1
15,19,F,3,So,125,65,Y,Y,N,0
30,20,F,1,NA,125,65,Y,N,N,0
3,19,F,3,So,130,61,Y,Y,N,0
18,19,F,8,Jr,130,62,Y,Y,N,0
24,20,F,3,NA,130,64,Y,Y,N,0
32,20,F,7,Jr,130,68,Y,Y,N,0
16,21,F,6,NA,133,69,Y,Y,Y,0
6,23,F,1,So,135,66,Y,Y,N,0
17,21,F,4,Sr,150,62,Y,N,N,0
4,19,F,1,So,155,65,Y,Y,N,0
34,20,M,3,Jr,155,70,Y,Y,N,0
19,22,M,4,So,160,71,Y,Y,N,0
25,19,F,1,NA,160,66,Y,Y,N,0
5,24,M,2,Sr,165,72,Y,Y,N,-1
8,18,M,3,Fr,165,73,Y,Y,N,-1
20,23,M,5,Jr,165,71,Y,Y,N,0
11,25,M,0,Sr,170,68,Y,Y,Y,1
27,21,M,5,NA,170,72,Y,Y,N,0
29,23,M,5,NA,173,69,Y,Y,N,0
1,22,F,4,Sr,175,64,Y,Y,N,0
10,20,F,2,Jr,180,65,Y,Y,N,-1
12,26,M,3,Jr,180,72,Y,N,Y,-1
26,18,F,1,NA,180,71.5,N,N,N,0
36,25,M,7,Jr,180,70,Y,Y,N,0
28,21,F,5,NA,185,67,Y,N,N,0
2,22,M,4,So,190,70,Y,N,N,0
7,24,M,-1,Sr,200,73,NA,NA,NA,-1
9,23,M,3,Sr,200,80,Y,Y,N,-1
13,25,M,1,Jr,200,78,Y,Y,N,-1
21,23,M,3,NA,285,72,Y,Y,N,0
23,19,F,3,NA,,64,Y,N,N,0
31,18,F,4,Fr,,67,Y,N,N,0
